ROW,STRATA_ID,SLOPE_CAT,LU_CAT,SLOPE_RANGE,ENV_RANGE,LU_RANGE,clc_level3,clc_level2,clc_level1,LEVEL_LU,ENV_CAT_CODE,ENV_CAT,LULUCF_CODE,LULUCF_DESCRIPTION,LULUCF_CODE_L2,LULUCF_DESCRIPTION_L2
522,144,FLAT,Wetlands,"[0, 15]",12,422,Salines,Coastal wetlands,Wetlands,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
523,144,FLAT,Wetlands,"[0, 15]",12,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
524,144,FLAT,Wetlands,"[0, 15]",12,511,Water courses,Inland waters,Water bodies,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
525,144,FLAT,Wetlands,"[0, 15]",12,512,Water bodies,Inland waters,Water bodies,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
526,144,FLAT,Wetlands,"[0, 15]",12,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
527,144,FLAT,Wetlands,"[0, 15]",12,522,Estuaries,Coastal waters,Water bodies,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
528,144,FLAT,Wetlands,"[0, 15]",12,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,MDN,Mediterranean_north,WL,Wetlands,WL,Wetlands
529,145,FLAT,Artificial_surfaces,"[0, 15]",13,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
530,145,FLAT,Artificial_surfaces,"[0, 15]",13,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
531,145,FLAT,Artificial_surfaces,"[0, 15]",13,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
532,145,FLAT,Artificial_surfaces,"[0, 15]",13,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
533,145,FLAT,Artificial_surfaces,"[0, 15]",13,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
534,145,FLAT,Artificial_surfaces,"[0, 15]",13,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
535,145,FLAT,Artificial_surfaces,"[0, 15]",13,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
536,145,FLAT,Artificial_surfaces,"[0, 15]",13,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
537,145,FLAT,Artificial_surfaces,"[0, 15]",13,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
538,145,FLAT,Artificial_surfaces,"[0, 15]",13,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
539,145,FLAT,Artificial_surfaces,"[0, 15]",13,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,MDS,Mediterranean_south,SL,Settlements,SL,Settlements
540,146,FLAT,Non_irrigated_arable_land,"[0, 15]",13,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
541,147,FLAT,Permanently_irrigated_arable_land,"[0, 15]",13,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
542,148,FLAT,Rice_fields,"[0, 15]",13,213,Rice fields,Arable land,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
543,149,FLAT,Permanent_crops,"[0, 15]",13,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,PCL,Permanent cropland
544,149,FLAT,Permanent_crops,"[0, 15]",13,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,PCL,Permanent cropland
545,149,FLAT,Permanent_crops,"[0, 15]",13,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,PCL,Permanent cropland
546,150,FLAT,Pasture,"[0, 15]",13,231,Pastures,Pastures,Agricultural areas,SOC_classif,MDS,Mediterranean_south,GL,Grassland,GL,Grassland
547,151,FLAT,Heterogeneous_agro,"[0, 15]",13,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
548,151,FLAT,Heterogeneous_agro,"[0, 15]",13,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
549,151,FLAT,Heterogeneous_agro,"[0, 15]",13,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,ACL,Arable cropland
550,151,FLAT,Heterogeneous_agro,"[0, 15]",13,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MDS,Mediterranean_south,CL,Cropland,AFCL,Agroforestry cropland
551,152,FLAT,Broadleaved_forest,"[0, 15]",13,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,FL,Forest land,FL,Forest land
552,153,FLAT,Coniferous_forest,"[0, 15]",13,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,FL,Forest land,FL,Forest land
553,154,FLAT,Mixed_forest,"[0, 15]",13,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,FL,Forest land,FL,Forest land
554,155,FLAT,Natural_grassland,"[0, 15]",13,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,GL,Grassland,GL,Grassland
555,156,FLAT,Moors_heathland,"[0, 15]",13,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,GL,Grassland,GL,Grassland
556,157,FLAT,Sclerophyllous_veg,"[0, 15]",13,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,GL,Grassland,GL,Grassland
557,158,FLAT,Transitional_woodland_shrub,"[0, 15]",13,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,FL,Forest land,FL,Forest land
558,159,FLAT,Open_spaces_little_no_veg,"[0, 15]",13,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,OL,Other land,OL,Other land
559,159,FLAT,Open_spaces_little_no_veg,"[0, 15]",13,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,OL,Other land,OL,Other land
560,159,FLAT,Open_spaces_little_no_veg,"[0, 15]",13,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,OL,Other land,OL,Other land
561,159,FLAT,Open_spaces_little_no_veg,"[0, 15]",13,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,FL,Forest land,FL,Forest land
562,159,FLAT,Open_spaces_little_no_veg,"[0, 15]",13,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MDS,Mediterranean_south,OL,Other land,OL,Other land
563,160,FLAT,Wetlands,"[0, 15]",13,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
564,160,FLAT,Wetlands,"[0, 15]",13,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
565,160,FLAT,Wetlands,"[0, 15]",13,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
566,160,FLAT,Wetlands,"[0, 15]",13,422,Salines,Coastal wetlands,Wetlands,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
567,160,FLAT,Wetlands,"[0, 15]",13,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
568,160,FLAT,Wetlands,"[0, 15]",13,511,Water courses,Inland waters,Water bodies,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
569,160,FLAT,Wetlands,"[0, 15]",13,512,Water bodies,Inland waters,Water bodies,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
570,160,FLAT,Wetlands,"[0, 15]",13,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
571,160,FLAT,Wetlands,"[0, 15]",13,522,Estuaries,Coastal waters,Water bodies,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
572,160,FLAT,Wetlands,"[0, 15]",13,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,MDS,Mediterranean_south,WL,Wetlands,WL,Wetlands
573,161,FLAT,Artificial_surfaces,"[0, 15]",14,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
574,161,FLAT,Artificial_surfaces,"[0, 15]",14,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
575,161,FLAT,Artificial_surfaces,"[0, 15]",14,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
576,161,FLAT,Artificial_surfaces,"[0, 15]",14,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
577,161,FLAT,Artificial_surfaces,"[0, 15]",14,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
578,161,FLAT,Artificial_surfaces,"[0, 15]",14,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
579,161,FLAT,Artificial_surfaces,"[0, 15]",14,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
580,161,FLAT,Artificial_surfaces,"[0, 15]",14,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
581,161,FLAT,Artificial_surfaces,"[0, 15]",14,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
582,161,FLAT,Artificial_surfaces,"[0, 15]",14,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
583,161,FLAT,Artificial_surfaces,"[0, 15]",14,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,MAC,Macaronesia,SL,Settlements,SL,Settlements
584,162,FLAT,Non_irrigated_arable_land,"[0, 15]",14,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
585,163,FLAT,Permanently_irrigated_arable_land,"[0, 15]",14,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
586,164,FLAT,Rice_fields,"[0, 15]",14,213,Rice fields,Arable land,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
587,165,FLAT,Permanent_crops,"[0, 15]",14,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,PCL,Permanent cropland
588,165,FLAT,Permanent_crops,"[0, 15]",14,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,PCL,Permanent cropland
589,165,FLAT,Permanent_crops,"[0, 15]",14,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,PCL,Permanent cropland
590,166,FLAT,Pasture,"[0, 15]",14,231,Pastures,Pastures,Agricultural areas,SOC_classif,MAC,Macaronesia,GL,Grassland,GL,Grassland
591,167,FLAT,Heterogeneous_agro,"[0, 15]",14,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
592,167,FLAT,Heterogeneous_agro,"[0, 15]",14,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
593,167,FLAT,Heterogeneous_agro,"[0, 15]",14,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,ACL,Arable cropland
594,167,FLAT,Heterogeneous_agro,"[0, 15]",14,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,MAC,Macaronesia,CL,Cropland,AFCL,Agroforestry cropland
595,168,FLAT,Broadleaved_forest,"[0, 15]",14,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,FL,Forest land,FL,Forest land
596,169,FLAT,Coniferous_forest,"[0, 15]",14,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,FL,Forest land,FL,Forest land
597,170,FLAT,Mixed_forest,"[0, 15]",14,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,FL,Forest land,FL,Forest land
598,171,FLAT,Natural_grassland,"[0, 15]",14,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,GL,Grassland,GL,Grassland
599,172,FLAT,Moors_heathland,"[0, 15]",14,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,GL,Grassland,GL,Grassland
600,173,FLAT,Sclerophyllous_veg,"[0, 15]",14,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,GL,Grassland,GL,Grassland
601,174,FLAT,Transitional_woodland_shrub,"[0, 15]",14,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,FL,Forest land,FL,Forest land
602,175,FLAT,Open_spaces_little_no_veg,"[0, 15]",14,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,OL,Other land,OL,Other land
603,175,FLAT,Open_spaces_little_no_veg,"[0, 15]",14,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,OL,Other land,OL,Other land
604,175,FLAT,Open_spaces_little_no_veg,"[0, 15]",14,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,OL,Other land,OL,Other land
605,175,FLAT,Open_spaces_little_no_veg,"[0, 15]",14,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,FL,Forest land,FL,Forest land
606,175,FLAT,Open_spaces_little_no_veg,"[0, 15]",14,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,MAC,Macaronesia,OL,Other land,OL,Other land
607,176,FLAT,Wetlands,"[0, 15]",14,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
608,176,FLAT,Wetlands,"[0, 15]",14,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
609,176,FLAT,Wetlands,"[0, 15]",14,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
610,176,FLAT,Wetlands,"[0, 15]",14,422,Salines,Coastal wetlands,Wetlands,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
611,176,FLAT,Wetlands,"[0, 15]",14,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
612,176,FLAT,Wetlands,"[0, 15]",14,511,Water courses,Inland waters,Water bodies,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
613,176,FLAT,Wetlands,"[0, 15]",14,512,Water bodies,Inland waters,Water bodies,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
614,176,FLAT,Wetlands,"[0, 15]",14,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
615,176,FLAT,Wetlands,"[0, 15]",14,522,Estuaries,Coastal waters,Water bodies,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
616,176,FLAT,Wetlands,"[0, 15]",14,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,MAC,Macaronesia,WL,Wetlands,WL,Wetlands
617,177,FLAT,Artificial_surfaces,"[0, 15]",15,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
618,177,FLAT,Artificial_surfaces,"[0, 15]",15,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
619,177,FLAT,Artificial_surfaces,"[0, 15]",15,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
620,177,FLAT,Artificial_surfaces,"[0, 15]",15,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
621,177,FLAT,Artificial_surfaces,"[0, 15]",15,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
622,177,FLAT,Artificial_surfaces,"[0, 15]",15,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
623,177,FLAT,Artificial_surfaces,"[0, 15]",15,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
624,177,FLAT,Artificial_surfaces,"[0, 15]",15,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
625,177,FLAT,Artificial_surfaces,"[0, 15]",15,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
626,177,FLAT,Artificial_surfaces,"[0, 15]",15,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
627,177,FLAT,Artificial_surfaces,"[0, 15]",15,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ARC,Arctic,SL,Settlements,SL,Settlements
628,178,FLAT,Non_irrigated_arable_land,"[0, 15]",15,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
629,179,FLAT,Permanently_irrigated_arable_land,"[0, 15]",15,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
630,180,FLAT,Rice_fields,"[0, 15]",15,213,Rice fields,Arable land,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
631,181,FLAT,Permanent_crops,"[0, 15]",15,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,PCL,Permanent cropland
632,181,FLAT,Permanent_crops,"[0, 15]",15,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,PCL,Permanent cropland
633,181,FLAT,Permanent_crops,"[0, 15]",15,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,PCL,Permanent cropland
634,182,FLAT,Pasture,"[0, 15]",15,231,Pastures,Pastures,Agricultural areas,SOC_classif,ARC,Arctic,GL,Grassland,GL,Grassland
635,183,FLAT,Heterogeneous_agro,"[0, 15]",15,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
636,183,FLAT,Heterogeneous_agro,"[0, 15]",15,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
637,183,FLAT,Heterogeneous_agro,"[0, 15]",15,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,ACL,Arable cropland
638,183,FLAT,Heterogeneous_agro,"[0, 15]",15,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ARC,Arctic,CL,Cropland,AFCL,Agroforestry cropland
639,184,FLAT,Broadleaved_forest,"[0, 15]",15,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,ARC,Arctic,FL,Forest land,FL,Forest land
640,185,FLAT,Coniferous_forest,"[0, 15]",15,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,ARC,Arctic,FL,Forest land,FL,Forest land
641,186,FLAT,Mixed_forest,"[0, 15]",15,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,ARC,Arctic,FL,Forest land,FL,Forest land
642,187,FLAT,Natural_grassland,"[0, 15]",15,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ARC,Arctic,GL,Grassland,GL,Grassland
643,188,FLAT,Moors_heathland,"[0, 15]",15,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ARC,Arctic,GL,Grassland,GL,Grassland
644,189,FLAT,Sclerophyllous_veg,"[0, 15]",15,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ARC,Arctic,GL,Grassland,GL,Grassland
645,190,FLAT,Transitional_woodland_shrub,"[0, 15]",15,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ARC,Arctic,FL,Forest land,FL,Forest land
646,191,FLAT,Open_spaces_little_no_veg,"[0, 15]",15,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ARC,Arctic,OL,Other land,OL,Other land
647,191,FLAT,Open_spaces_little_no_veg,"[0, 15]",15,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ARC,Arctic,OL,Other land,OL,Other land
648,191,FLAT,Open_spaces_little_no_veg,"[0, 15]",15,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ARC,Arctic,OL,Other land,OL,Other land
649,191,FLAT,Open_spaces_little_no_veg,"[0, 15]",15,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ARC,Arctic,FL,Forest land,FL,Forest land
650,191,FLAT,Open_spaces_little_no_veg,"[0, 15]",15,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ARC,Arctic,OL,Other land,OL,Other land
651,192,FLAT,Wetlands,"[0, 15]",15,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
652,192,FLAT,Wetlands,"[0, 15]",15,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
653,192,FLAT,Wetlands,"[0, 15]",15,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
654,192,FLAT,Wetlands,"[0, 15]",15,422,Salines,Coastal wetlands,Wetlands,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
655,192,FLAT,Wetlands,"[0, 15]",15,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
656,192,FLAT,Wetlands,"[0, 15]",15,511,Water courses,Inland waters,Water bodies,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
657,192,FLAT,Wetlands,"[0, 15]",15,512,Water bodies,Inland waters,Water bodies,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
658,192,FLAT,Wetlands,"[0, 15]",15,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
659,192,FLAT,Wetlands,"[0, 15]",15,522,Estuaries,Coastal waters,Water bodies,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
660,192,FLAT,Wetlands,"[0, 15]",15,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,ARC,Arctic,WL,Wetlands,WL,Wetlands
661,193,MODERATE,Artificial_surfaces,"[15, 30]",1,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
662,193,MODERATE,Artificial_surfaces,"[15, 30]",1,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
663,193,MODERATE,Artificial_surfaces,"[15, 30]",1,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
664,193,MODERATE,Artificial_surfaces,"[15, 30]",1,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
665,193,MODERATE,Artificial_surfaces,"[15, 30]",1,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
666,193,MODERATE,Artificial_surfaces,"[15, 30]",1,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
667,193,MODERATE,Artificial_surfaces,"[15, 30]",1,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
668,193,MODERATE,Artificial_surfaces,"[15, 30]",1,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALN,Alpine_north,SL,Settlements,SL,Settlements
